Label_Name,Label,Text
Sensitive: Salary,0,average salary per year 75 000 
Sensitive: Salary,0,monthly salary 50 000 
Sensitive: Salary,0,monthly income per year 100 000 
Sensitive: Salary,0,The net income per year is 50 000 euros 
Sensitive: Salary,0,The income of the person is 50 000 dollars per year 
Sensitive: Salary,0,The average salary per month is xxx dollars 
Sensitive: Salary,0,Income: 12 000 per month 
Sensitive: Salary,0,Income bruto dollars 
Sensitive: Salary,0,The average income of the patient 
Sensitive: Salary,0,Income of the patient 
Sensitive: Salary,0,Salary of patient 
Sensitive: Salary,0,The monthly salary is 5000 dollars 
Sensitive: ID/Social Security Number,0,DB22A4D9-7E4D-485C-916A-9CD1386507FB
Sensitive: ID/Social Security Number,0,6E70D84D-C75F-477C-BC37-9177C3698C66
Sensitive: ID/Social Security Number,0,FA157FA5-F488-4884-BF87-E144630D595C
Sensitive: ID/Social Security Number,0,1A40AF35-C6D4-4D46-B475-A15D84E8A9D5
Sensitive: ID/Social Security Number,0,0A9BA3E4-CF3C-49C4-9774-5EEA2EE7D123
Sensitive: ID/Social Security Number,0,This is the social security number
Sensitive: ID/Social Security Number,0,unique patient ID
Sensitive: ID/Social Security Number,0,Patient ID
Sensitive: ID/Social Security Number,0,ID 
Sensitive: Treatment Details,0,Direct infection of joint in infectious and parasitic diseases classified elsewhere
Sensitive: Treatment Details,0,Disseminated intravascular coagulation [defibrination syndrome]
Sensitive: Treatment Details,0,Chronic myeloid leukemia BCR/ABL-positive
Sensitive: Treatment Details,0,Rheumatoid polyneuropathy with rheumatoid arthritis of shoulder
Sensitive: Treatment Details,0,Acute lymphoblastic leukemia not having achieved 
Sensitive: Treatment Details,0,Nerve root and plexus compressions in diseases classified elsewhere
Sensitive: Treatment Details,0,Thoracic thoracolumbar and lumbosacral intervertebral disc disorders
Sensitive: Treatment Details,0,Renal failure following (induced) termination of pregnancy
Sensitive: Treatment Details,0,Malignant neoplasm of trachea
Sensitive: Treatment Details,0,Rheumatoid myopathy with rheumatoid arthritis of left hand
Sensitive: Treatment Details,0,Cannabis abuse with psychotic disorder
Sensitive: Treatment Details,0,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy
Sensitive: Treatment Details,0,Kaschin-Beck disease left knee
Sensitive: Name,0,The name of the patient is John Doe 
Sensitive: Name,0,The patients name is Thijs G 
Sensitive: Name,0,The name of the patient is Thijs Gieben 
Sensitive: Name,0,John Doe
Sensitive: Name,0,Marie Bus 
Sensitive: Name,0,Edward G 
Sensitive: Name,0,John Kennedy 
Sensitive: Name,0,insert patient name here 
Sensitive: Payment Details,0,The creditcard number of the patient is XXXX
Sensitive: Payment Details,0,Payment was done by cash 
Sensitive: Payment Details,0,Patient paid by creditcard 
Sensitive: Payment Details,0,Bank account number is 
Sensitive: Payment Details,0,the patient paid by bank transfer 
Sensitive: Payment Details,0,6331101999990016
Sensitive: Payment Details,0,Australian BankCard‎: ‎5610591081018250
Sensitive: Payment Details,0,American Express Corporate‎: ‎378734493671000
Sensitive: Payment Details,0,Bank account 
Sensitive: Phone Number,0,The phone number of the patient is 1800 160 401
Sensitive: Phone Number,0,phone number 
Sensitive: Phone Number,0,mobile number 
Sensitive: Phone Number,0,telephone 
Sensitive: Phone Number,0,mobile phone number
Sensitive: Phone Number,0, 1800 160 401
Sensitive: Phone Number,0,0491 577 426 0491 577 644
Sensitive: Phone Number,0, 0491 578 957 0491 578 148 0491 578 888 0491 579 212
Sensitive: Phone Number,0,020-91X-XXXX 
Sensitive: Phone Number,0,(0191) 498 0xxx
Sensitive: Phone Number,0,+1-212-718-1234
Sensitive: Phone Number,0,311-555-2368
Sensitive: Phone Number,0,6060-842
Sensitive: Address,0, The address of the patient is first lane 24
Sensitive: Address,0,Address: Fast Lane 123 
Sensitive: Address,0,address details: 
Sensitive: Address,0,City postcode address 
Sensitive: Address,0,The address is high street 57
Sensitive: Address,0,street name 
Sensitive: Address,0,street valley 
Sensitive: Address,0,Amsterdam dam square 5
Sensitive: Address,0,Londen united kingdom street 57
Sensitive: Address,0,What is your address 
Sensitive: Address,0,Please insert address details 
